Var1,Var2,MI
8,11,0.6928312103456253
5,9,0.0150725956176938
2,11,0.0203583023076028
2,7,0.0162223711849449
0,8,0.013554153852981
5,7,0.6916797528080583
7,9,0.0182698117173156
3,5,0.0130778223564185
1,7,0.00467177593781
5,10,0.0105699412504183
0,10,0.0162925932028574
3,7,0.0149847590475804
3,4,0.0107120217689491
1,11,0.0092119992801027
1,9,0.0146078586791613
6,9,0.0250564770104482
2,5,0.0096769681973309
5,6,0.6393446990967373
4,11,0.0241253676351966
8,9,6.524718153532795
1,10,0.0072261242502342
2,4,0.020533670948259
1,2,0.6333106403188165
4,6,1.2431323549883828
4,9,0.0203873027299774
6,7,0.4059883512744573
9,11,1.2211186412540922
4,7,0.6503489660167379
2,6,0.0316946470298198
7,10,0.0169328019574983
0,5,0.0055789001770367
3,10,0.0128326420330537
2,3,0.3590943661299803
6,8,0.025311164407249
0,11,0.015368511855339
0,1,7.189934221764634
1,8,0.0060810728674702
2,10,0.0134840396873094
7,8,0.0116934262887422
2,8,0.0180521289957198
6,11,0.0132557520198055
4,8,0.0234379358626419
1,3,0.6262816041733821
9,10,0.6157441449917229
5,11,0.0114382513609356
4,5,7.182677679628053
3,6,0.0085095688895542
8,10,1.24851416398392
1,4,0.0144328636831705
6,10,0.0261200542853536
0,2,1.245594992971773
0,3,0.5881895552601097
2,9,0.0234032648411286
3,11,0.0151752735181052
0,6,0.0161722043913563
3,8,0.0099732300323704
7,11,0.0100731032782732
4,10,0.0267376810293864
0,7,0.0073796488704136
5,8,0.0142029677276109
0,9,0.0174887476744274
10,11,0.405376182606437
1,6,0.0125973279939444
3,9,0.0125025360598911
0,4,0.0233119256835383
1,5,0.0082324836173466
